iter	Passed	Remaining
0	2	255
1	4	230
2	6	217
3	8	203
4	10	208
5	13	209
6	15	205
7	17	202
8	19	199
9	21	196
10	23	193
11	26	190
12	27	185
13	29	182
14	31	179
15	33	174
16	35	171
17	37	169
18	39	167
19	41	164
20	42	160
21	44	156
22	45	152
23	47	151
24	49	149
25	51	146
26	53	144
27	55	142
28	57	139
29	58	137
30	60	135
31	62	133
32	64	130
33	65	127
34	69	128
35	71	126
36	72	124
37	74	122
38	76	120
39	78	118
40	80	116
41	81	112
42	84	111
43	86	109
44	87	107
45	89	105
46	92	103
47	93	101
48	95	99
49	97	97
50	99	95
51	100	93
52	103	91
53	104	89
54	105	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	115	74
61	117	72
62	118	69
63	120	67
64	122	66
65	124	64
66	126	62
67	127	60
68	129	58
69	131	56
70	133	54
71	135	52
72	137	50
73	139	48
74	141	47
75	142	45
76	144	43
77	146	41
78	148	39
79	149	37
80	151	35
81	153	33
82	155	31
83	157	29
84	159	28
85	161	26
86	163	24
87	165	22
88	167	20
89	169	18
90	170	16
91	172	15
92	174	13
93	176	11
94	178	9
95	179	7
96	181	5
97	182	3
98	184	1
99	186	0
