iter	Passed	Remaining
0	194	194660
1	196	97987
2	197	65708
3	199	49570
4	200	39889
5	201	33425
6	203	28845
7	205	25506
8	208	22938
9	209	20788
10	211	19011
11	212	17535
12	214	16286
13	228	16096
14	229	15072
15	230	14196
16	233	13481
17	235	12825
18	236	12187
19	237	11619
20	238	11105
21	239	10635
22	240	10200
23	240	9799
24	241	9427
25	242	9085
26	243	8769
27	244	8474
28	245	8224
29	247	7991
30	248	7773
31	250	7587
32	251	7382
33	252	7184
34	253	6997
35	254	6820
36	255	6649
37	256	6487
38	257	6333
39	257	6189
40	258	6056
41	261	5957
42	262	5837
43	263	5716
44	263	5600
45	264	5487
46	265	5385
47	266	5292
48	268	5206
49	270	5143
50	271	5060
51	274	5003
52	275	4918
53	276	4837
54	276	4758
55	277	4681
56	278	4607
57	279	4536
58	282	4505
59	283	4448
60	284	4385
61	285	4322
62	286	4263
63	287	4204
64	288	4147
65	289	4091
66	290	4040
67	291	3988
68	291	3938
69	293	3892
70	294	3848
71	296	3815
72	300	3817
73	301	3775
74	302	3731
75	303	3689
76	304	3647
77	305	3606
78	305	3565
79	306	3526
80	307	3487
81	308	3451
82	308	3410
83	309	3378
84	310	3346
85	312	3319
86	313	3290
87	314	3258
88	315	3226
89	315	3194
90	316	3165
91	317	3134
92	318	3107
93	319	3081
94	320	3055
95	321	3031
96	322	3005
97	325	2993
98	328	2989
99	330	2973
100	331	2954
101	332	2930
102	333	2906
103	334	2883
104	335	2860
105	336	2838
106	337	2817
107	338	2795
108	339	2774
109	340	2755
110	341	2735
111	342	2716
112	343	2695
113	344	2675
114	345	2655
115	345	2636
116	346	2616
117	347	2597
118	348	2578
119	349	2560
120	350	2543
121	350	2525
122	351	2508
123	352	2491
124	353	2474
125	354	2460
126	356	2449
127	357	2436
128	358	2420
129	359	2404
130	360	2388
131	360	2373
132	361	2357
133	362	2341
134	363	2327
135	364	2312
136	364	2298
137	365	2285
138	366	2271
139	367	2257
140	368	2244
141	369	2229
142	370	2219
143	371	2207
144	372	2197
145	373	2185
146	374	2172
147	375	2160
148	376	2148
149	376	2135
150	377	2123
151	378	2111
152	379	2100
153	380	2089
154	381	2077
155	382	2066
156	382	2056
157	383	2045
158	385	2039
159	386	2031
160	387	2019
161	388	2011
162	389	2001
163	391	1994
164	392	1986
165	393	1977
166	394	1967
167	395	1958
168	396	1949
169	397	1940
170	399	1935
171	400	1927
172	401	1918
173	402	1908
174	403	1900
175	403	1891
176	404	1882
177	405	1873
178	406	1865
179	407	1856
180	408	1848
181	409	1840
182	410	1833
183	411	1826
184	413	1821
185	414	1815
186	417	1814
187	418	1807
188	419	1800
189	420	1792
190	421	1784
191	422	1777
192	423	1769
193	423	1761
194	424	1754
195	426	1748
196	427	1741
197	428	1734
198	429	1729
199	431	1727
200	432	1720
201	433	1713
202	434	1707
203	435	1700
204	436	1694
205	437	1687
206	438	1680
207	439	1674
208	441	1669
209	442	1663
210	443	1657
211	444	1652
212	446	1649
213	447	1644
214	448	1638
215	449	1632
216	450	1626
217	451	1620
218	452	1614
219	453	1609
220	455	1604
221	456	1599
222	457	1593
223	458	1588
224	460	1584
225	461	1580
226	462	1575
227	463	1569
228	464	1563
229	465	1558
230	466	1553
231	467	1549
232	470	1550
233	472	1545
234	473	1542
235	476	1540
236	477	1537
237	478	1532
238	479	1528
239	480	1523
240	481	1517
241	483	1513
242	483	1507
243	485	1503
244	486	1499
245	487	1494
246	489	1491
247	491	1490
248	492	1486
249	493	1481
250	495	1477
251	496	1472
252	497	1468
253	498	1464
254	500	1461
255	501	1456
256	502	1452
257	504	1450
258	506	1448
259	507	1444
260	508	1439
261	509	1435
262	510	1431
263	512	1427
264	513	1424
265	514	1420
266	517	1419
267	518	1416
268	520	1415
269	522	1411
270	523	1408
271	524	1404
272	526	1401
273	527	1397
274	528	1393
275	530	1391
276	532	1390
277	534	1387
278	535	1382
279	536	1378
280	537	1374
281	538	1370
282	539	1366
283	540	1363
284	542	1360
285	543	1357
286	546	1356
287	548	1356
288	549	1352
289	551	1349
290	552	1345
291	553	1341
292	554	1338
293	555	1334
294	557	1333
295	560	1332
296	563	1333
297	564	1330
298	565	1326
299	566	1322
300	568	1319
301	569	1315
302	570	1312
303	571	1309
304	572	1305
305	575	1304
306	577	1303
307	578	1300
308	579	1296
309	581	1293
310	582	1290
311	583	1286
312	584	1282
313	585	1280
314	587	1277
315	588	1274
316	590	1272
317	592	1270
318	593	1266
319	594	1263
320	595	1259
321	596	1256
322	597	1252
323	598	1249
324	600	1247
325	602	1244
326	604	1244
327	607	1243
328	608	1240
329	609	1237
330	610	1233
331	611	1230
332	612	1227
333	614	1224
334	615	1221
335	616	1218
336	618	1216
337	619	1214
338	621	1211
339	622	1208
340	623	1205
341	624	1201
342	625	1198
343	626	1195
344	628	1192
345	629	1190
346	631	1187
347	637	1193
348	638	1191
349	639	1188
350	641	1185
351	642	1182
352	644	1180
353	645	1177
354	646	1175
355	649	1174
356	651	1174
357	653	1171
358	654	1167
